TEXT,VALUE
招投标,00
科技/教育,01
国民经济/国有资产,02
工业/信息化/交通,03
综合政务,04
财政/金融/审计,05
农业/林业/水利,06
商贸/海关/旅游,07
市场/安全生产监管,08
城乡建设/环境保护,09
文化/广电/新闻出版,10
卫生/体育,11
人口与计划生育/妇女儿童,12
劳动/人事/监察,13
公安/安全/司法,14
民政/扶贫,15
民族/宗教,16
对外事务,17
港澳台侨,18
国防,19
其他,20
国土资源/能源,99
